id,key,value,type
12426418,name_base,Triumph,tiger
12426418,name_type,Dr,tiger
12426418,reviewed,no,tiger
12426418,zip_left,29577,tiger
12426418,zip_right,29577,tiger
12426424,highway,residential,regular
12426424,name,Shavis Court,regular
12426424,cfcc,A41,tiger
12426424,county,"Horry, SC",tiger
12426424,name_base,Shavis,tiger
12426424,name_type,Ct,tiger
12426424,reviewed,no,tiger
12426424,zip_left,29577,tiger
12426424,zip_right,29577,tiger
12426603,highway,residential,regular
12426603,name,Horne Street,regular
12426603,cfcc,A41,tiger
12426603,county,"Horry, SC",tiger
12426603,name_base,Horne,tiger
12426603,name_type,St,tiger
12426603,reviewed,no,tiger
12426603,zip_left,29577,tiger
12426603,zip_right,29577,tiger
12426661,highway,residential,regular
12426661,name,Emory Road,regular
12426661,cfcc,A41,tiger
12426661,county,"Horry, SC",tiger
12426661,name_base,Emory,tiger
12426661,name_type,Dr,tiger
12426661,reviewed,no,tiger
12426661,zip_left,29577,tiger
12426661,zip_right,29577,tiger
12426929,highway,residential,regular
12426929,name,14th Avenue North,regular
12426929,cfcc,A41,tiger
12426929,county,"Horry, SC",tiger
12426929,name_base,14th,tiger
12426929,name_direction_suffix,N,tiger
12426929,name_type,Ave,tiger
12426929,reviewed,no,tiger
12426929,zip_left,29577,tiger
12426929,zip_right,29577,tiger
12426932,highway,primary,regular
12426932,lanes,2,regular
12426932,name,Robert M. Grissom Parkway,regular
12426932,oneway,yes,regular
12426932,cfcc,A41,tiger
12426932,county,"Horry, SC",tiger
12426932,name_base,Robert M Grissom,tiger
12426932,name_base_1,Shopping Center 600,tiger
12426932,name_type,Pky,tiger
12426932,reviewed,no,tiger
12426932,zip_left,29577,tiger
12426932,zip_left_1,29577,tiger
12426932,zip_right,29577,tiger
12426932,zip_right_1,29577,tiger
12426967,highway,residential,regular
12426967,name,South Road,regular
12426967,cfcc,A41,tiger
12426967,county,"Horry, SC",tiger
12426967,name_base,South,tiger
12426967,name_type,Rd,tiger
12426967,reviewed,no,tiger
12427024,highway,tertiary,regular
12427024,name,29th Avenue North,regular
12427024,cfcc,A41,tiger
12427024,county,"Horry, SC",tiger
12427024,name_base,29th,tiger
